question,itinerary,id
One-day sightseeing itinerary in Barcelona,Travel itinerary for one days.,0d2c8cdc
One-day cultural experience itinerary in Barcelona,Travel itinerary for one days.,0d2c8cdc
Travel itinerary for one day with family in Barcelona,Travel itinerary for one days.,0d2c8cdc
One-day gastronomic tour itinerary in Barcelona,Travel itinerary for one days.,0d2c8cdc
One-day beach and relaxation itinerary in Barcelona,Travel itinerary for one days.,0d2c8cdc
One-day historical landmarks itinerary in Barcelona,Travel itinerary for one days.,0d2c8cdc
One-day shopping and fun itinerary in Barcelona,Travel itinerary for one days.,0d2c8cdc
One-day adventure and outdoor activities itinerary in Barcelona,Travel itinerary for one days.,0d2c8cdc
One-day art and museum exploration itinerary in Barcelona,Travel itinerary for one days.,0d2c8cdc
One-day hidden gems itinerary in Barcelona,Travel itinerary for one days.,0d2c8cdc
Two-day cultural itinerary in Barcelona,Travel itinerary for two days.,5c5c93e1
48-hour food and wine tasting itinerary in Barcelona,Travel itinerary for two days.,5c5c93e1
Two-day sightseeing itinerary in Barcelona,Travel itinerary for two days.,5c5c93e1
Weekend itinerary for two days in Barcelona,Travel itinerary for two days.,5c5c93e1
Two-day romantic getaway itinerary in Barcelona,Travel itinerary for two days.,5c5c93e1
Two-day historical tour itinerary in Barcelona,Travel itinerary for two days.,5c5c93e1
Two-day itinerary for art lovers in Barcelona,Travel itinerary for two days.,5c5c93e1
Family-friendly two-day itinerary in Barcelona,Travel itinerary for two days.,5c5c93e1
Two-day outdoor adventure itinerary in Barcelona,Travel itinerary for two days.,5c5c93e1
Two-day shopping and markets itinerary in Barcelona,Travel itinerary for two days.,5c5c93e1
Three-day cultural itinerary in Barcelona,Travel itinerary for three days.,4d19a7fc
Three-day beach and relaxation itinerary in Barcelona,Travel itinerary for three days.,4d19a7fc
Three-day historical sites itinerary in Barcelona,Travel itinerary for three days.,4d19a7fc
Three-day shopping and dining itinerary in Barcelona,Travel itinerary for three days.,4d19a7fc
Three-day nightlife itinerary in Barcelona,Travel itinerary for three days.,4d19a7fc
Travel itinerary for three days focusing on Gaudí,Travel itinerary for three days.,4d19a7fc
Three-day family-friendly itinerary in Barcelona,Travel itinerary for three days.,4d19a7fc
Three-day outdoor adventure itinerary in Barcelona,Travel itinerary for three days.,4d19a7fc
Three-day music and performance itinerary in Barcelona,Travel itinerary for three days.,4d19a7fc
Three-day food and wine tasting itinerary in Barcelona,Travel itinerary for three days.,4d19a7fc
Four-day cultural itinerary in Barcelona,Travel itinerary for four days.,13f6fe30
Four-day beach and relaxation itinerary in Barcelona,Travel itinerary for four days.,13f6fe30
Four-day historical tour itinerary in Barcelona,Travel itinerary for four days.,13f6fe30
Four-day family-friendly itinerary in Barcelona,Travel itinerary for four days.,13f6fe30
Four-day food and wine itinerary in Barcelona,Travel itinerary for four days.,13f6fe30
Four-day outdoor adventure itinerary in Barcelona,Travel itinerary for four days.,13f6fe30
Four-day art lover's itinerary in Barcelona,Travel itinerary for four days.,13f6fe30
Four-day romantic getaway itinerary in Barcelona,Travel itinerary for four days.,13f6fe30
Four-day city highlights itinerary in Barcelona,Travel itinerary for four days.,13f6fe30
Four-day architectural exploration itinerary in Barcelona,Travel itinerary for four days.,13f6fe30
Five-day cultural itinerary in Barcelona,Travel itinerary for five days.,fdd78632
Five-day beach and relaxation itinerary in Barcelona,Travel itinerary for five days.,fdd78632
Five-day historical sites itinerary in Barcelona,Travel itinerary for five days.,fdd78632
Travel itinerary for five days focused on Gaudí's works,Travel itinerary for five days.,fdd78632
Five-day culinary experience itinerary in Barcelona,Travel itinerary for five days.,fdd78632
Five-day family-friendly itinerary in Barcelona,Travel itinerary for five days.,fdd78632
Adventure-focused itinerary for five days in Barcelona,Travel itinerary for five days.,fdd78632
Five-day weekend getaway itinerary in Barcelona,Travel itinerary for five days.,fdd78632
Five-day shopping and leisure itinerary in Barcelona,Travel itinerary for five days.,fdd78632
Five-day Barcelona itinerary for art lovers,Travel itinerary for five days.,fdd78632
Six-day cultural immersion itinerary in Barcelona,Travel itinerary for six days.,efa8d9c8
Travel itinerary for six days of sightseeing in Barcelona,Travel itinerary for six days.,efa8d9c8
Six-day culinary experience itinerary in Barcelona,Travel itinerary for six days.,efa8d9c8
Adventure-packed six-day itinerary in Barcelona,Travel itinerary for six days.,efa8d9c8
Six-day relaxing beach getaway itinerary in Barcelona,Travel itinerary for six days.,efa8d9c8
Six-day family-friendly itinerary in Barcelona,Travel itinerary for six days.,efa8d9c8
Six-day art lover's itinerary in Barcelona,Travel itinerary for six days.,efa8d9c8
Historical six-day itinerary in Barcelona,Travel itinerary for six days.,efa8d9c8
Six-day festival and events itinerary in Barcelona,Travel itinerary for six days.,efa8d9c8
Six-day luxury travel itinerary in Barcelona,Travel itinerary for six days.,efa8d9c8
Seven-day cultural itinerary in Barcelona,Travel itinerary for seven days.,b6983779
Seven-day beach and relaxation itinerary in Barcelona,Travel itinerary for seven days.,b6983779
Travel itinerary for seven days with family in Barcelona,Travel itinerary for seven days.,b6983779
Seven-day historical sites itinerary in Barcelona,Travel itinerary for seven days.,b6983779
Seven-day gastronomy tour itinerary in Barcelona,Travel itinerary for seven days.,b6983779
Seven-day nature and parks itinerary in Barcelona,Travel itinerary for seven days.,b6983779
Seven-day shopping and nightlife itinerary in Barcelona,Travel itinerary for seven days.,b6983779
Seven-day art and music itinerary in Barcelona,Travel itinerary for seven days.,b6983779
Seven-day architectural highlights itinerary in Barcelona,Travel itinerary for seven days.,b6983779
Travel itinerary for seven days on a budget in Barcelona,Travel itinerary for seven days.,b6983779
